Date,ImportOffPeak,ImportStandard,ImportPeak,ImportTotal,ExportOffPeak,ExportStandard,ExportPeak,ExportTotal
2026-09-20,33.55,0.0,0.0,33.55,0.33,0.0,50.71,51.04
2026-09-21,6.99,0.0,0.0,6.99,0.0,0.0,0.0,0.0
